#
# File to veto lines either in observed or rest frame
#       or even rest frame of DLA
#
#  Veto lines used for Pk1D analysis (DESI SV)
#
# lambda is given in Angstrom
#
# name  lambda_min  lambda_max  ('OBS' or 'RF' or 'RF_DLA') 
#
absorption_K  3931.0  3937.0  OBS
absorption_H  3966.0  3972.0  OBS
sky_lines  4355.0  4365.0  OBS
sky_lines  5459.9  5464.1  OBS
sky_lines  5575.1  5584.1  OBS
absorption_NaD  5885.0  5902.0  OBS
sky_lines  5887.9  5893.7  OBS
sky_lines  5895.1  5899.3  OBS
sky_lines  5932.7  5936.1  OBS
sky_lines  6234.3  6240.9  OBS
sky_lines  6257.5  6261.7  OBS
sky_lines  6287.1  6291.3  OBS
sky_lines  6297.5  6304.1  OBS
sky_lines  6306.3  6310.5  OBS
sky_lines  6329.5  6333.7  OBS
sky_lines  6355.9  6360.1  OBS
sky_lines  6363.1  6367.3  OBS
sky_lines  6463.9  6469.7  OBS
sky_lines  6470.3  6474.5  OBS
sky_lines  6498.3  6502.5  OBS
sky_lines  6532.7  6536.9  OBS
sky_lines  6543.9  6548.1  OBS
sky_lines  6553.5  6557.7  OBS
sky_lines  6562.3  6565.7  OBS
sky_lines  6576.7  6580.9  OBS
sky_lines  6603.9  6608.1  OBS
sky_lines  6827.1  6838.5  OBS
sky_lines  6840.7  6845.7  OBS
sky_lines  6862.3  6868.1  OBS
sky_lines  6881.5  6885.7  OBS
sky_lines  6889.5  6892.9  OBS
sky_lines  6900.7  6904.9  OBS
sky_lines  6912.7  6916.1  OBS
sky_lines  6923.1  6927.3  OBS
sky_lines  6939.1  6943.3  OBS
sky_lines  6948.7  6952.9  OBS
sky_lines  6970.3  6973.7  OBS
sky_lines  6978.3  6982.5  OBS
sky_lines  7011.1  7015.3  OBS
sky_lines  7047.1  7056.9  OBS
sky_lines  7238.3  7259.3  OBS
sky_lines  7275.1  7280.1  OBS
sky_lines  7281.5  7288.9  OBS
sky_lines  7295.9  7299.3  OBS
sky_lines  7303.9  7307.3  OBS
sky_lines  7315.9  7320.1  OBS
sky_lines  7329.5  7332.9  OBS
sky_lines  7340.7  7344.9  OBS
sky_lines  7358.3  7362.5  OBS
sky_lines  7368.7  7373.7  OBS
sky_lines  7391.1  7396.1  OBS
sky_lines  7401.5  7405.7  OBS
sky_lines  7429.5  7433.7  OBS
sky_lines  7438.3  7442.5  OBS
sky_lines  7462.3  7470.5  OBS
sky_lines  7471.1  7477.7  OBS
sky_lines  7479.1  7487.3  OBS
sky_lines  7493.5  7497.7  OBS
sky_lines  7523.1  7528.1  OBS
sky_lines  7530.3  7534.5  OBS
sky_lines  7557.5  7561.7  OBS
sky_lines  7567.9  7577.7  OBS
sky_lines  7586.3  7590.5  OBS
sky_lines  7598.3  7602.5  OBS
sky_lines  7618.3  7622.5  OBS
sky_lines  7628.7  7632.9  OBS
sky_lines  7653.5  7656.9  OBS
sky_lines  7662.3  7666.5  OBS
sky_lines  7699.1  7703.3  OBS
sky_lines  7711.9  7722.5  OBS
sky_lines  7723.9  7730.5  OBS
sky_lines  7749.5  7755.3  OBS
sky_lines  7759.9  7764.1  OBS
sky_lines  7773.5  7777.7  OBS
sky_lines  7780.7  7784.9  OBS
sky_lines  7791.1  7798.5  OBS
sky_lines  7807.9  7812.9  OBS
sky_lines  7820.7  7825.7  OBS
sky_lines  7841.5  7845.7  OBS
sky_lines  7850.3  7857.7  OBS
sky_lines  7858.3  7864.9  OBS
sky_lines  7867.9  7875.3  OBS
sky_lines  7879.1  7885.7  OBS
sky_lines  7889.5  7894.5  OBS
sky_lines  7911.9  7918.5  OBS
sky_lines  7919.1  7925.7  OBS
sky_lines  7930.3  7936.1  OBS
sky_lines  7949.5  7953.7  OBS
sky_lines  7964.7  7972.1  OBS
sky_lines  7977.5  7984.1  OBS
sky_lines  7992.7  7998.5  OBS
sky_lines  8013.5  8018.5  OBS
sky_lines  8025.5  8035.3  OBS
sky_lines  8051.1  8056.1  OBS
sky_lines  8062.3  8066.5  OBS
sky_lines  8093.5  8097.7  OBS
sky_lines  8102.3  8108.1  OBS
sky_lines  8147.1  8151.3  OBS
sky_lines  8278.3  8294.5  OBS
sky_lines  8295.9  8308.1  OBS
sky_lines  8310.3  8315.3  OBS
sky_lines  8343.1  8349.7  OBS
sky_lines  8350.3  8357.7  OBS
sky_lines  8361.5  8369.7  OBS
sky_lines  8380.7  8387.3  OBS
sky_lines  8399.1  8404.1  OBS
sky_lines  8415.1  8420.1  OBS
sky_lines  8424.7  8438.5  OBS
sky_lines  8451.9  8456.9  OBS
sky_lines  8462.3  8470.5  OBS
sky_lines  8493.5  8500.9  OBS
sky_lines  8501.5  8509.7  OBS
sky_lines  8539.1  8543.3  OBS
sky_lines  8547.9  8553.7  OBS
sky_lines  8588.7  8592.1  OBS
sky_lines  8597.5  8601.7  OBS
sky_lines  8614.3  8645.7  OBS
sky_lines  8647.9  8674.5  OBS
sky_lines  8675.1  8680.1  OBS
sky_lines  8680.7  8685.7  OBS
sky_lines  8758.3  8774.5  OBS
sky_lines  8775.9  8783.3  OBS
sky_lines  8791.1  8796.1  OBS
sky_lines  8810.3  8814.5  OBS
sky_lines  8825.5  8841.7  OBS
sky_lines  8849.5  8854.5  OBS
sky_lines  8862.3  8872.1  OBS
sky_lines  8885.5  8892.9  OBS
sky_lines  8903.1  8908.1  OBS
sky_lines  8919.1  8924.9  OBS
sky_lines  8943.1  8948.1  OBS
sky_lines  8957.5  8963.3  OBS
sky_lines  8986.3  8992.9  OBS
sky_lines  9000.7  9006.5  OBS
sky_lines  9038.3  9042.5  OBS
sky_lines  9049.5  9054.5  OBS
sky_lines  9092.7  9097.7  OBS
sky_lines  9102.3  9108.1  OBS
sky_lines  9151.9  9166.5  OBS
sky_lines  9216.7  9220.9  OBS
sky_lines  9222.3  9230.5  OBS
sky_lines  9287.1  9292.1  OBS
sky_lines  9293.5  9298.5  OBS
sky_lines  9305.5  9328.9  OBS
sky_lines  9331.1  9335.3  OBS
sky_lines  9338.3  9342.5  OBS
sky_lines  9348.7  9355.3  OBS
